Date;Home Team;Away Team;Home Score;Away Score;Play-off Game?;Home Odds;Draw Odds;Away Odds;Bookmakers Surveyed
24-May-14;Force;Lions;29;19;;1.2;24.98;4.35;10
24-May-14;Hurricanes;Chiefs;45;8;;1.99;19.29;1.82;10
24-May-14;Highlanders;Crusaders;30;32;;2.5;21.19;1.52;10
23-May-14;Bulls;Brumbies;44;23;;1.59;20.98;2.36;10
23-May-14;Rebels;Waratahs;19;41;;3.02;21.81;1.37;10
23-May-14;Blues;Sharks;23;29;;1.81;19.37;1.99;10
18-May-14;Waratahs;Lions;41;17;;1.07;31.83;7.22;10
18-May-14;Cheetahs;Brumbies;27;21;;2.52;21.56;1.52;10
18-May-14;Stormers;Force;24;8;;1.67;19.6;2.2;10
17-May-14;Reds;Rebels;27;30;;1.59;19.94;2.36;10
17-May-14;Crusaders;Sharks;25;30;;1.25;23.6;3.87;10
16-May-14;Hurricanes;Highlanders;16;18;;1.3;22.63;3.53;10
11-May-14;Reds;Crusaders;29;57;;3.23;22.77;1.34;10
